Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
103,Maria (I Like It Loud),Scooter,2003,https://www.youtube.com/watch?v=i2ep3QZQ4vM,cfd3a91e6be03a0b7e8529892d3084630cac086bc7ef0c4eef51f6b8080e4e48,Scooter - Maria (I Like It Loud) (Official Video),DEN061302561
104,Zukunft Pink (feat. Inéz),Peter Fox,2022,https://www.youtube.com/watch?v=cFmdO7s2Tjw,3a536f347d7e5a9cd2c1894133c7943b5a602aa60990f8d3b216846df64653fd,Peter Fox - Zukunft Pink (feat. Inéz) Lyrics,DEA622201528
105,Give It Away,Red Hot Chili Peppers,1991,https://www.youtube.com/watch?v=R1qnNknKLsg,b0c3a06e8b2edc1d63800580062f9371a7e6873cf3d69930f40c574312cd5933,Red Hot Chili Peppers - Give It Away (Official Music Video),USWB19901574
106,Uptown Girl,Billy Joel,1983,https://www.youtube.com/watch?v=hCuMWrfXG4E,cafc2416c967095fe8d84d69935bee4c71cac735a9d5a17448718ed1cc2e78c0,Billy Joel - Uptown Girl (Official Video),USSM18300270
107,Good Feeling,Flo Rida,2011,https://www.youtube.com/watch?v=pcPkYB244og,033542bf5e20cc502fa05901f2e45d69bf28361eec258022d6ecbd20f6f53ea2,Flo Rida - Good Feeling (Official Video Cantoyo),USAT21101961
108,Don't Be Aggressive - Radio Edit,Sandra,1992,https://www.youtube.com/watch?v=scwCMVEZAbg,dc4479686f667dab5cf6128fb66913b0ef34b92d5c5fc4b1aea4913a18377ffd,Sandra - Don't Be Aggressive (Radio Edit),DEG129201117
109,Padam Padam,Kylie Minogue,2023,https://www.youtube.com/watch?v=p6Cnazi_Fi0,7c04e434534441d25b2ee10044a53ee79e3c8bd72cdb774a51c150f141d3c154,Kylie Minogue - Padam Padam (Official Video),GB5KW2301017
110,Maniac,Michael Sembello,1983,https://www.youtube.com/watch?v=324it5DKoXU,484daa62e3b1773460e4b44a53a5cf59838f8bd0b5ba536ee5d4f59ad5b4a559,Michael Sembello - Maniac (1983) (Official Video),USPR38302462
111,Tausendmal Du,Münchener Freiheit,1986,https://www.youtube.com/watch?v=xiTLU2Z-5Jk,d7e5816fd3656efbdaa8174d6179f1f68ff8317297d0a044d4bc84345769e07d,Münchener Freiheit - Tausendmal Du (Die Maultrommel 14.04.1986) (VOD),DEE869700884
112,So soll es bleiben - Single Edit,Ich + Ich,2007,https://www.youtube.com/watch?v=XSZ0Uei3WvQ,4730ee81e0a337980990253d014b0a5b921be209950c6f12436fbfc173f31155,Ich + Ich - Stark (Official Video),DEUM70800278
